label,description,slug,airtableId,tags,created,updated,synced
Baked Goods Manufacturing,"This industry includes entities that:
1. Manufacture fresh and frozen bread and other bakery products
2. Retail bread and other bakery products not for immediate consumption made on the premises from flour, not from prepared dough
3. Manufacture cookies, crackers, dry pasta, tortillas, or prepared flour mixes or dough from flour ground elsewhere.",baked-goods-manufacturing,recueUOW4OL6Ugxz7,,2023-02-16 15:33:40,,
Banking,"This industry includes entities that accept demand and other deposits and make commercial, industrial, and consumer loans. Commercial banks and branches of foreign banks are included.",banking,recrGWiVz0tQAul55,,2023-02-24 10:28:27,2023-02-24 10:28:27,
"Bars, Taverns, and Nightclubs","This industry includes entities known as bars, taverns, nightclubs, or drinking places preparing and serving alcoholic beverages for immediate consumption.",bars-taverns-and-nightclubs,recuKbwgM1xV4C0rg,,2023-02-27 08:39:16,2023-02-27 08:39:17,
"Bed-and-Breakfasts, Hostels, Homestays","This industry includes entities that provide short-term lodging and food (except hotels, motels, and casino hotels).",bed-and-breakfasts-hostels-homestays,rech6SlallsfOERbm,,2023-02-16 15:33:40,,
Beverage Manufacturing,"This industry includes entities that manufacture soft drinks and ice; purify and bottle water; and manufacture brewery, winery, and distillery products.",beverage-manufacturing,recYODAHkPTEUETA7,,2023-02-16 15:33:40,,
Biomass Electric Power Generation,"This industry includes entities that operate biomass electric power generation facilities. These facilities use biomass (wood, waste, alcohol fuels) to produce electric energy provided to transmission or electric power distribution systems.",biomass-electric-power-generation,rechKUaBNfqnbsi6J,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Biotechnology,This industry includes entities that use living organisms and molecular biology to produce healthcare-related products.,biotechnology,recWKXsYVqYtRu4qr,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Biotechnology Research,This industry includes entities that conduct biotechnology (except nanobiotechnology) research and experimental development.,biotechnology-research,recFQ0Doh3VADkKrV,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Blockchain,"This industry includes entities that provide infrastructure for management of decentralized digital assets, such as cryptocurrency and non-fungible tokens (NFTs). Cryptocurrency trading platforms and blockchain hosting platforms are included in this industry.",blockchain,recmIwbxBjj75yz8c,,2023-02-24 10:28:27,2023-02-24 10:28:27,
Blogs,This industry includes entities that produce content for the internet: textual or video blogs.,blogs,reci455KfjHrwLWUQ,,2023-02-27 08:39:16,2023-02-27 08:39:16,
"Boilers, Tanks, and Shipping Container Manufacturing","This industry includes entities that:
1. Manufacture power boilers and heat exchangers
2. Cut, form, and join heavy gauge metal to manufacture tanks, vessels, and other containers
3. Form light gauge metal containers.",boilers-tanks-and-shipping-container-manufacturing,recr5m1ioLMoIpeZo,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Book and Periodical Publishing,,book-and-periodical-publishing,recsGgzvh9c9WWTPG,,2023-02-27 08:39:16,2023-02-27 08:39:17,
Book Publishing,"This industry includes entities known as book publishers that carry out design, editing, and marketing activities necessary for producing and distributing books, in print, electronic, or audio form.",book-publishing,recEYyXX9KLxRrvcV,,2023-02-16 15:33:40,,
Breweries,"This industry includes entities that brew beer, ale, lager, malt liquors, and nonalcoholic beer.",breweries,rec58qbjWHI38em0E,,2023-02-16 15:33:40,,
Broadcast Media Production and Distribution,,broadcast-media-production-and-distribution,rec0az9P4GHgqdKEJ,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Building Construction,,building-construction,recLTzEIsKo1CqAe3,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Building Equipment Contractors,"This industry includes entities that install or service equipment that forms part of a building mechanical system (e.g., electricity, water, heating, and cooling). Contractors installing specialized building equipment, such as elevators, escalators, service station equipment, and central vacuum cleaning systems are also included.",building-equipment-contractors,recbSoFGi4JWUhlvw,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Building Finishing Contractors,"This industry includes entities that provide specialty trades needed to finish buildings. This includes new work, additions, alterations, maintenance, and repairs.",building-finishing-contractors,recBsAYOhCAKXRWou,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Building Materials,"This industry includes entities that produce and/or sell building materials, such as lumber, plywood, millwork, and wood panels; brick, stone, and related construction materials; roofing, siding, and insulation materials; and other construction materials, including manufactured homes (i.e. mobile homes) and/or prefabricated buildings.",building-materials,recg9mJDybskOIpD3,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Building Structure and Exterior Contractors,"This industry includes entities that provide specialty trades needed to complete the basic structure (i.e., foundation, frame, and shell) of buildings. This includes new work, additions, alterations, maintenance, and repairs.",building-structure-and-exterior-contractors,recvdSxxknVdC3iNS,,2023-02-27 08:39:16,2023-02-27 08:39:17,
Business,,business,recLJwMsQ4gP1RCjc,,2023-02-24 10:28:27,2023-02-24 10:28:27,
Business Consulting and Services,"This industry includes entities that provide advice and assistance to businesses and other organizations on administrative and operational issues, such as strategic and organizational planning; financial planning and budgeting; marketing objectives and policies; human resource policies, practices, and planning; production scheduling, control planning, and IT Consulting.",business-consulting-and-services,recBiEmVprhkxXWgv,,2023-02-24 10:28:27,2023-02-24 10:28:27,
Business Content,This industry includes entities that provide news and content about markets and business activities.,business-content,recoCtRr3M5t5QcKM,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Business Intelligence Platforms,"Technology, Information and Media > Technology, Information and Internet > Data Infrastructure and Analytics > Business Intelligence Platforms",business-intelligence-platforms,recxGtinogXWhbX7J,,2023-02-27 08:39:16,2023-02-27 08:39:17,
Business Management,,business-management,recmSQTncTl9BCnWp,,2023-02-16 15:33:40,,
Business Skills Training,"This industry includes entities that offer training courses in office skills, such as how to use software applications. Also included in this industry are entities that offer short-term courses for professional training. Computer repair training is not included in this industry.",business-skills-training,recYDU7YWq9ZgwU9d,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Business Supplies and Equipment,This industry includes entities that produce and/or sell consumables and equipment regularly used in offices by businesses and other organizations.,business-supplies-and-equipment,recbFUToBIBy2K6B9,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Cable and Satellite Programming,"This industry includes entities that operate studios and facilities for the broadcasting of programs on a subscription or fee basis which are usually delivered to a third party, such as cable systems or direct-to-home satellite systems, for transmission to viewers.",cable-and-satellite-programming,recx0UBVC8zdq5lFy,,2023-02-16 15:33:40,,
Capital Markets,,capital-markets,recnKUJotHHlbfSWh,,2023-02-16 15:33:40,,
Caterers,This industry includes entities that provide single event-based food services and generally have equipment and vehicles to transport meals and snacks to events and/or prepare food at an off-premise site.,caterers,rec6OIznLgSLPSJsg,,2023-02-16 15:33:40,,
Chemical Manufacturing,,chemical-manufacturing,recsHVyqd0O9iCCp0,,2023-02-16 15:33:40,,
Chemical Raw Materials Manufacturing,"This industry includes entities that manufacture chemicals using basic processes, such as thermal cracking and distillation. These chemicals are usually separate chemical elements or separate chemically-defined compounds.",chemical-raw-materials-manufacturing,recwPhC6nHpRVtnXe,,2023-02-27 08:39:16,2023-02-27 08:39:17,
Child Day Care,This industry includes entities that provide day care of infants or children who are not in school and may also offer pre-kindergarten and/or kindergarten educational programs.,child-day-care,recVz4rgQAcGOMb3C,,2023-02-16 15:33:40,,
Chiropractors,This industry includes health practitioners having the degree of D.C. (Doctor of Chiropractic) practicing chiropractic therapy.,chiropractors,rec5KTWvTeIINlNao,,2023-02-16 15:33:40,,
Circuses and Magic Shows,"This industry includes companies or groups (except theater companies, dance companies, and musical groups and artists) producing live theatrical presentations.",circuses-and-magic-shows,rec8q1nRk2KpfeSrk,,2023-02-16 15:33:40,,
Civic and Social Organizations,,civic-and-social-organizations,rect8XkcurUSrqrtK,,2023-02-16 15:33:40,,
Civil Engineering,"This industry includes entities that conduct engineering projects such as the construction of highways, dams, and utility systems.",civil-engineering,recMsJVcx8qnxhFJG,,2023-02-24 10:28:27,2023-02-24 10:28:27,
"Claims Adjusting, Actuarial",This industry includes entities that primarily provide services related to insurance (except insurance agencies and brokerages).,claims-adjusting-actuarial,recPyuNiX5fG0ySlV,,2023-02-16 15:33:40,,
Clay and Refractory Products Manufacturing,"This industry includes entities that shape, mold, glaze, and fire pottery, ceramics, and plumbing fixtures, and electrical supplies made entirely or partly of clay or other ceramic materials or shape, mold, bake, burn, or harden clay refractories, nonclay refractories, ceramic tile, structural clay tile, brick, and other structural clay building materials.",clay-and-refractory-products-manufacturing,recpKk0TjvEveyunN,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Coal Mining,"This industry includes entities that:
1. Mine bituminous coal, anthracite, and lignite by underground mining, auger mining, strip mining, culm bank mining, and other surface mining;
2. Develop coal mine sites
3. Beneficiate coal (e.g., clean, wash, screen, and size coal).",coal-mining,recSpYN3rpYwvQExO,,2023-02-16 15:33:40,,
Collection Agencies,This industry includes entities that collect payments for claims and remitting payments collected to their clients.,collection-agencies,recqzi569Esg5CT1v,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Commercial,,commerce,recogXqSzTYqpeH5I,,2023-02-16 15:33:40,,
Commercial and Industrial Equipment Rental,This industry includes entities that rent or lease commercial-type and industrial-type machinery and equipment -- capital or investment-type equipment that clients use in their business operations.,commercial-and-industrial-equipment-rental,recv8PUe00LyhqUnn,,2023-02-16 15:33:40,,
Commercial and Industrial Machinery Maintenance,"This industry includes entities that repair and maintain commercial and industrial machinery and equipment, including either sharpening/installing commercial and industrial machinery blades and saws or provide welding (e.g., automotive, general) repair services; or repairing agricultural and other heavy and industrial machinery and equipment (e.g., forklifts and other material handling equipment, machine tools, commercial refrigeration equipment, construction equipment, and mining machinery).",commercial-and-industrial-machinery-maintenance,recLWIxuo2xh4MxIM,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Commercial and Service Industry Machinery Manufacturing,"This industry includes entities that manufacture commercial and service industry machinery, such as optical instruments, photographic and photocopying equipment, automatic vending machinery, commercial laundry and drycleaning machinery, office machinery, automotive maintenance equipment (except mechanics’ handtools), and commercial-type cooking equipment.",commercial-and-service-industry-machinery-manufacturing,recEE6ZNO994lL0F9,,2023-02-24 10:28:27,2023-02-24 10:28:27,
Commercial Real Estate,"This industry includes entities that manage, construct, design, or sell real estate (buildings or land) intended to generate a profit, either from capital gains or rental income.",commercial-real-estate,recKYRWTAwTyWRado,,2023-02-16 15:33:40,,
Communications Equipment Manufacturing,"This industry includes entities that manufacture communications equipment such as wire telephone and data communications equipment, and radio or television broadcast and wireless communications equipment.",communications-equipment-manufacturing,recn6hKwuMVcBubOT,,2023-02-16 15:33:40,,
Community Development and Urban Planning,"This industry includes government entities that focus on the administration and planning of the development of urban and rural areas, including government zoning boards and commissions.",community-development-and-urban-planning,reclzOh2jWiZHVl3M,,2023-02-16 15:33:40,,
Community Services,,community-services,recdnrP26O6jxmBw9,,2023-02-16 15:33:40,,
Computer and Network Security,"This industry includes entities that provide services and technologies to protect computer systems from unauthorized access, such as theft or damage to hardware, software, or electronic data, including the disruption or misdirection of the services they provide.",computer-and-network-security,recQ82klrtC2HwNz5,cybersecurity,2023-02-16 15:33:40,,
Computer Games,,computer-games,recLgTiRlX9OD9yss,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Computer Hardware,"This industry includes entities that produce and/or sell the physical parts of a computer, such as the case, central processing unit (CPU), random access memory (RAM), monitor, mouse, keyboard, computer data storage, graphics card, sound card, speakers and motherboard.",computer-hardware,recGOLEwNRsNUK2rA,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Computer Hardware Manufacturing,"This industry includes entities that manufacture or assemble electronic computers, such as mainframes, personal computers, workstations, laptops, and computer servers; and computer peripheral equipment, such as storage devices, printers, monitors, and input/output devices and terminals.",computer-hardware-manufacturing,rec0xBzIlWFR5KgBC,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Computer Networking,"This industry includes entities that produce, sell, and/or provide services for interconnected computing devices that can exchange data and share resources with each other.",computer-networking,recdrasKaOOoawmJZ,,2023-02-16 15:33:40,,
Computer Networking Products,This industry includes entities that produce software that manages or runs on collections of connected computers.,computer-networking-products,recRf7jujraOBLpFV,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Computers and Electronics Manufacturing,,computers-and-electronics-manufacturing,reca2TM4qeOUTvLXf,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Conservation Programs,"This industry includes government entities that focus on the administration, regulation, supervision, and control of land use, including recreational areas; conservation and preservation of natural resources; erosion control; geological survey program administration; weather forecasting program administration; and the administration and protection of publicly and privately owned forest lands, including game, fish, and wildlife populations, including wildlife management areas and field stations.",conservation-programs,reccPpT2AP4M1QMMr,,2023-02-16 15:33:40,,
Construction,,construction,rechJTTUBgeUC4Vl5,,2023-02-24 10:28:27,2023-02-24 10:28:27,
Construction Hardware Manufacturing,"This industry includes entities that manufacture metal hardware, such as metal hinges, metal handles, keys, and locks (except coin-operated or time locks).",construction-hardware-manufacturing,recOxYLXCGLbt3Q2v,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Consumer Electronics,This industry includes entities that produce and/or sell electronic equipment intended for everyday use.,consumer-electronics,recNHQ3VwxQw9vQNm,,2023-02-16 15:33:40,,
Consumer Goods Rental,"This industry includes entities that rent personal and household-type goods, generally short-term rental although in some instances, the goods may be leased for longer periods of time.",consumer-goods-rental,recUuc9fPzRCYNWod,,2023-02-24 10:28:27,2023-02-24 10:28:27,
Corporate Finance,,corporate-finance,recB45z0oFQnfLoy1,,2023-02-24 10:28:27,2023-02-24 10:28:27,
Correctional Institutions,"This industry includes government entities that manage and operate correctional institutions designed for the confinement, correction, and rehabilitation of adult and/or juvenile offenders sentenced by a court.",correctional-institutions,recDgQ5BcWItFBCik,,2023-02-16 15:33:40,,
Cosmetics,"This industry includes entities that manufacture and distribute cosmetic products, such as foundation, mascara, skincare, haircare and soap.",cosmetics,recGN2wycMno7jN7B,,2023-02-16 15:33:40,,
Cosmetology and Barber Schools,"This industry includes entities that offer training in barbering, hair styling, or the cosmetic arts, such as makeup or skin care.",cosmetology-and-barber-schools,reckqmGg4uA3toXee,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Courts of Law,This industry includes civilian courts of law (except American Indian and Alaska Native tribal courts).,courts-of-law,recZlBQOsu3oqdBTx,,2023-02-16 15:33:40,,
Credit Intermediation,,credit-intermediation,recyoX73w8q0UdwN6,,2023-02-16 15:33:40,,
Culture,,culture,recfZsG4yjidFMMBM,,2023-02-16 15:33:40,,
Cutlery and Handtool Manufacturing,"This industry includes entities that manufacture one or more of the following:
1. Metal kitchen cookware (except by casting (e.g., cast iron skillets) or stamped without further fabrication), utensils, and/or nonprecious and precious plated metal cutlery and flatware
2. Saw blades, all types (including those for power sawing machines);
3. Nonpowered handtools and edge tools.",cutlery-and-handtool-manufacturing,rec4Zk6rsGNgf38fv,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Dairy,"This industry includes entities that produce and/or sell dairy products made from raw milk, processed milk, and dairy substitutes.",dairy,recWsxAI0TVVKSEhl,,2023-02-16 15:33:40,,
Dairy Product Manufacturing,"This industry includes entities that manufacture dairy products from raw milk, processed milk, and dairy substitutes.",dairy-product-manufacturing,recA9aertkKZHaP2t,,2023-02-16 15:33:40,,
Dance Companies,"This industry includes companies, groups, or theaters producing all types of live theatrical dance (e.g., ballet, contemporary dance, folk dance) presentations.",dance-companies,recGO6ZnyUr7t4Au9,,2023-02-16 15:33:40,,
Data Infrastructure and Analytics,,data-infrastructure-and-analytics,rec2BZtrVpYEUOg6V,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Data Security Software Products,This industry includes entities that produce software to ensure security of data and computing systems.,data-security-software-products,rect0fkRWenlAsYxZ,,2023-02-16 15:33:40,,
Defense & Space,This industry includes entities that produce and/or sell guided missiles and space vehicles.,defense-and-space,recaVWz5wgqrB3SPc,,2023-02-16 15:33:40,,
Defense and Space Manufacturing,This industry includes entities that manufacture complete guided missiles and space vehicles and/or develop prototypes.,defense-and-space-manufacturing,recRvZ97qzhDzvLJ2,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Dentists,"This industry includes health practitioners having the degree of D.M.D. (Doctor of Dental Medicine), D.D.S. (Doctor of Dental Surgery), or D.D.Sc. (Doctor of Dental Science) practicing general or specialized dentistry or dental surgery.",dentists,recfrVmVfXO7Dvy0O,,2023-02-16 15:33:40,,
Design,"This industry includes entities that create plans or specifications for the production of an object or system, or for the implementation of an activity or process or the result of that plan or specification in the form of a prototype, product, or process.",design,recR5I4HsM58e7wC3,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Desktop Computing Software Products,This industry includes entities that produce software which runs on desktop or laptop computers.,desktop-computing-software-products,recqL01Csag8jqv5Y,,2023-02-16 15:33:40,,
Distilleries,"This industry includes entities that distill potable liquors (except brandies), distill and blend liquors, and/or blend and mix liquors and other ingredients.",distilleries,recJ4SIVuFvDzxftO,,2023-02-16 15:33:40,,
E-Learning,"This industry includes entities that use a c*ombination of computer hardware, software, and educational theory and practice to facilitate learning.",e-learning,recmfky5cGz5SnWW5,,2023-02-27 08:39:16,2023-02-27 08:39:16,
E-Learning Providers,"This industry includes entities that offer instruction using electronic technologies, such as through web-based trainings, online learning platforms, and live or recorded lectures. Training may be tuition-based or open to the public, accredited or non-accredited.",e-learning-providers,rec0Nh8myPAcl2Nau,,2023-02-16 15:33:40,,
E-Commerce,,ecommerce,recX3XTgLKjDr8Zpj,,2023-02-24 10:28:27,2023-02-24 10:28:27,
Economic Programs,,economic-programs,recNtdT8tT75EmlCk,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Education,,education,recK2meLvVIVSENA2,,2023-02-16 15:33:40,,
Education Administration Programs,"This industry includes government entities that coordinate, plan, supervise, and administrate funds, policies, activities, statistical reports, data collection, and centralized programs for educational administration. Government scholarship programs are included.",education-administration-programs,recphLkvKAlCuhUmV,,2023-02-16 15:33:40,,
Education Management,This industry includes entities that participate in activities related to educational leadership and management.,education-management,recOts0PaqZpavOe1,,2023-02-16 15:33:40,,
Electric Lighting Equipment Manufacturing,"This industry includes entities that manufacture
1. Electric light bulbs and tubes, and parts and components (except glass blanks for electric light bulbs) or
2. Electric lighting fixtures (except vehicular), nonelectric lighting equipment, lamp shades (except glass and plastics), and lighting fixture components (except current-carrying wiring devices).",electric-lighting-equipment-manufacturing,recrOHAoQRILDDEP7,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Electric Power Generation,,electric-power-generation,recHdr6c0wGfmfPsQ,,2023-02-27 08:39:16,2023-02-27 08:39:16,
"Electric Power Transmission, Control, and Distribution","This industry includes entities that operate electric power transmission systems; control (i.e., regulate voltages) the transmission of electricity; and/or distribute electricity to distribution centers, other electric utilities, or final consumers.",electric-power-transmission-control-and-distribution,receV1twxf66hSIRZ,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Electrical Equipment Manufacturing,"This industry includes entities that manufacture power, distribution, and specialty transformers; electric motors, generators, and motor generator sets; switchgear and switchboard apparatus; relays; and industrial controls.",electrical-equipment-manufacturing,recESE3ZU5rOLTAN3,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Electronic and Precision Equipment Maintenance,"This industry includes entities that repair and maintain one or more of the following:
1. Consumer electronic equipment
2. Computers
3. Office machines
4. Communication equipment
5. Other electronic and precision equipment and instruments, without retailing these products as new.",electronic-and-precision-equipment-maintenance,recHXBU1Njy0781z6,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Electronics,,electronics,recLsq1pcrgE8VMLm,,2023-02-16 15:33:40,,
Embedded Software Products,"This industry includes entities that produce software (or ""firmware"") for machines or devices that are not usually thought of as computers, ex: routers, refrigerators, display systems, washing machines, etc. i.e., software for the internet of things but do not produce these devices.",embedded-software-products,reckW5sPvoR5Gqej5,,2023-02-16 15:33:40,,
Emergency and Relief,"This industry includes entities that provide food, shelter, clothing, medical relief, resettlement, and counseling to victims of domestic or international disasters or conflicts (e.g., wars).",emergency-and-relief,recpLB43xyxNLJzrE,,2023-02-16 15:33:40,,
